City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kinablangan,7.6947,126.5503,25.93,86,50,1.69,PH,1698416490
84,atafu village,-8.5421,-172.5159,28.02,78,100,5.41,TK,1698416491
85,charleston,32.7766,-79.9309,25.57,84,0,2.06,US,1698416285
86,ushuaia,-54.8,-68.3,3.81,87,100,6.69,AR,1698416462
87,fada,9.5667,8.3,31.36,32,7,1.88,NG,1698416491
88,constantia,44.1833,28.65,25.39,57,100,6.75,RO,1698416208
89,albany,42.6001,-73.9662,21.41,70,25,1.47,US,1698416491
90,mareeba,-17.0,145.4333,20.27,91,30,1.39,AU,1698416491
91,rakops,-21.0167,24.3333,39.02,8,1,5.94,BW,1698416491
92,mutoko,-17.397,32.2268,29.11,24,0,3.42,ZW,1698416491
93,benguela,-12.5763,13.4055,26.06,74,45,4.92,AO,1698416492
94,chibougamau,49.9168,-74.3659,3.79,100,100,4.12,CA,1698416336
95,saint-philippe,-21.3585,55.7679,25.77,81,85,0.77,RE,1698416364
96,hawaiian paradise park,19.5933,-154.9731,22.24,90,40,1.54,US,1698416492
97,kidal,18.4411,1.4078,37.13,8,6,4.81,ML,1698416492
98,minas de marcona,-15.2119,-75.1103,16.94,71,94,2.36,PE,1698416492
99,tarko-sale,64.9225,77.785,-11.63,83,73,8.17,RU,1698416228
100,muravlenko,63.7898,74.523,-10.51,89,93,7.7,RU,1698416493
101,tome acu,-2.4189,-48.1522,35.71,32,21,1.99,BR,1698416493
102,iqaluit,63.7506,-68.5145,-3.15,63,75,2.57,CA,1698416493
103,ambodifotatra,-16.9833,49.85,26.03,83,28,5.29,MG,1698416493
104,tsiombe,-25.3,45.4833,23.91,57,3,6.29,MG,1698416493
105,sicuani,-14.2694,-71.2261,13.92,58,64,2.31,PE,1698416493
106,hermanus,-34.4187,19.2345,15.7,69,100,3.62,ZA,1698416363
107,afaahiti,-17.75,-149.2833,21.93,93,100,5.11,PF,1698416494
108,hami,42.8,93.45,14.3,30,65,0.58,CN,1698416494
109,flying fish cove,-10.4217,105.6791,26.26,73,90,8.68,CX,1698416494
110,wenling,28.3669,121.36,20.0,85,100,2.58,CN,1698416494
111,lerwick,60.1545,-1.1494,9.0,68,100,4.14,GB,1698416494
112,lebu,-37.6167,-73.65,11.51,91,100,4.99,CL,1698416494
113,dauphin,51.1494,-100.0502,-2.92,59,100,3.09,CA,1698416494
114,omdurman,15.6445,32.4777,36.53,24,46,2.79,SD,1698416495
115,sept-iles,50.2001,-66.3821,3.0,92,100,6.17,CA,1698416495
116,west island,-12.1568,96.8225,25.79,81,4,10.21,CC,1698416495
117,extrema,-22.8547,-46.3183,27.66,57,90,1.97,BR,1698416495
118,labytnangi,66.6572,66.4183,-9.89,84,97,3.37,RU,1698416495
119,kargasok,59.0556,80.8572,-3.91,87,100,8.49,RU,1698416410
120,palmer,42.1584,-72.3287,20.92,68,40,2.06,US,1698416495
121,kish,26.5578,54.0194,29.15,58,0,5.14,IR,1698416221
122,yarmouth,41.7057,-70.2286,18.99,88,0,3.09,US,1698416496
123,jamestown,42.097,-79.2353,19.77,72,75,4.63,US,1698416496
124,fort mcmurray,56.7268,-111.381,-4.23,86,100,3.6,CA,1698416496
125,edinburgh of the seven seas,-37.0676,-12.3116,13.75,81,100,12.48,SH,1698416496
126,coquimbo,-29.9533,-71.3436,15.85,63,75,4.12,CL,1698416261
127,altai,46.3722,96.2583,3.58,44,4,4.72,MN,1698416496
128,kangding,30.0513,101.9603,8.11,97,99,0.85,CN,1698416496
129,san mariano,7.5,126.0,23.16,93,30,1.24,PH,1698416497
130,new plymouth,-39.0667,174.0833,5.73,71,88,2.9,NZ,1698416497
131,stanley,54.868,-1.6985,11.27,93,40,3.6,GB,1698416497
132,duba,27.3513,35.6901,30.61,51,74,1.58,SA,1698416497
133,mount pearl,47.5166,-52.7813,9.07,79,75,4.63,CA,1698416497
134,berdigestyakh,62.0989,126.6992,-7.84,92,100,2.91,RU,1698416497
135,san juan,-31.5375,-68.5364,25.77,34,6,4.47,AR,1698416276
136,port mathurin,-19.6833,63.4167,25.07,74,73,3.69,MU,1698416498
137,susuman,62.7833,148.1667,-17.79,90,100,0.89,RU,1698416498
138,tchibanga,-2.85,11.0333,24.35,91,100,1.36,GA,1698416498
139,codrington,-38.2667,141.9667,8.98,63,100,3.91,AU,1698416498
140,college,64.8569,-147.8028,-9.75,85,40,2.06,US,1698416498
141,kill devil hills,36.0307,-75.676,19.99,91,0,2.57,US,1698416498
142,skikda,36.8762,6.9092,24.46,63,95,8.17,DZ,1698416498
143,pacasmayo,-7.4006,-79.5714,20.02,78,100,4.08,PE,1698416499
144,bayanhongor,46.7167,100.1167,0.05,35,44,0.39,MN,1698416499
145,saldanha,-33.0117,17.9442,20.03,70,46,9.8,ZA,1698416499
146,pont rouge,48.8833,-72.0825,8.16,95,100,4.34,CA,1698416499
147,lintong,34.378,109.2089,11.38,50,65,2.13,CN,1698416499
148,tucumcari,35.1717,-103.725,7.19,48,0,4.12,US,1698416499
149,talnakh,69.4865,88.3972,-16.55,91,96,0.89,RU,1698416499
150,riviere-du-loup,47.8304,-69.5342,7.15,100,100,2.57,CA,1698416499
151,keflavik,64.0049,-22.5624,8.95,70,0,5.14,IS,1698416444
152,nikolayevsk-on-amure,53.1406,140.73,-0.15,79,11,1.29,RU,1698416500
153,yellowknife,62.456,-114.3525,-9.21,99,20,3.09,CA,1698416500
154,antonio enes,-16.2325,39.9086,28.33,61,0,5.1,MZ,1698416500
155,phariha,27.3167,78.4833,25.76,24,5,1.21,IN,1698416500
156,xilin hot,43.9667,116.0333,7.86,38,6,3.06,CN,1698416500
157,yeniseysk,58.4497,92.1703,-2.25,61,69,6.71,RU,1698416500
158,kuala belait,4.5833,114.1833,27.09,86,99,2.3,BN,1698416501
159,castillos,-34.1667,-53.8333,19.45,44,11,3.86,UY,1698416501
160,bandar-e anzali,37.4727,49.4622,22.06,71,100,3.07,IR,1698416501
161,nar'yan-mar,67.6713,53.087,-11.61,100,35,1.79,RU,1698416501
162,noumea,-22.2763,166.4572,22.99,95,93,4.9,NC,1698416501
163,yuzhno-kurilsk,44.0306,145.8556,11.32,87,99,2.79,RU,1698416501
164,olonkinbyen,70.9221,-8.7187,-1.16,71,7,1.61,SJ,1698416501
165,metlili chaamba,32.2667,3.6333,29.52,15,0,2.57,DZ,1698416502
166,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1698416433
167,whitehorse,60.7161,-135.0538,-10.11,92,20,2.57,CA,1698416502
168,burlington,39.8835,-74.6413,20.59,84,40,2.57,US,1698416502
169,ngurore,9.2833,12.2333,36.03,19,15,2.0,NG,1698416502
170,cannonvale,-20.2833,148.7,21.4,70,0,4.49,AU,1698416502
171,watampone,-4.5386,120.3279,25.04,78,10,3.26,ID,1698416502
172,inari,68.906,27.0288,-2.89,97,100,0.26,FI,1698416503
173,la sarre,48.8002,-79.1996,3.62,96,100,2.43,CA,1698416503
174,la'ie,21.6477,-157.9253,25.98,87,53,0.45,US,1698416503
175,shetpe,44.1667,52.1167,18.87,58,100,1.13,KZ,1698416503
176,puerto baquerizo moreno,-0.9,-89.6,24.55,83,75,6.69,EC,1698416503
177,gadzhiyevo,69.2551,33.3362,-2.54,94,100,3.46,RU,1698416503
178,lompoc,34.6391,-120.4579,12.18,82,0,4.92,US,1698416503
179,bandarban,22.1965,92.2262,28.84,94,100,0.66,BD,1698416504
180,cabo san lucas,22.8909,-109.9124,24.73,59,2,3.15,MX,1698416339
181,malango,-2.9627,119.9001,18.69,70,12,1.25,ID,1698416504
182,bilmak,47.3624,36.6511,18.28,58,100,3.44,UA,1698416504
183,westport,41.1415,-73.3579,18.8,82,0,2.57,US,1698416504
184,ankang,32.68,109.0172,16.16,71,9,0.48,CN,1698416504
185,ust'-ilimsk,58.0006,102.6619,2.47,51,100,4.92,RU,1698416504
186,port douglas,-16.4833,145.4667,23.87,88,93,3.3,AU,1698416504
187,yerofey pavlovich,53.9667,121.9667,-2.21,61,54,0.54,RU,1698416505
188,chonchi,-42.6128,-73.8092,12.29,97,100,6.66,CL,1698416505
189,paita,-5.0892,-81.1144,21.23,77,98,4.85,PE,1698416494
190,trairi,-3.2778,-39.2689,30.03,56,98,6.42,BR,1698416505
191,callao,-12.0667,-77.15,20.95,82,100,3.6,PE,1698416505
192,poronaysk,49.2167,143.1167,2.03,70,38,2.34,RU,1698416505
193,bethel,41.3712,-73.414,19.12,71,0,0.0,US,1698416505
194,vila velha,-20.3297,-40.2925,26.97,78,75,3.6,BR,1698416506
195,pula,44.8683,13.8481,21.31,68,0,4.12,HR,1698416396
196,humaita,-7.5061,-63.0208,33.81,44,99,1.83,BR,1698416506
197,tafuna,-14.3358,-170.72,26.43,82,64,8.9,AS,1698416506
198,dhuusamarreeb,5.535,46.3861,30.82,50,100,5.37,SO,1698416506
199,fort bragg,35.139,-79.006,23.23,85,0,0.89,US,1698416506
200,sinop,41.7711,34.8709,19.24,55,99,1.59,TR,1698416506
201,weno,7.4515,151.8468,27.9,78,100,6.02,FM,1698416507
202,morinville,53.8001,-113.652,-6.12,89,100,4.63,CA,1698416507
203,longyearbyen,78.2186,15.6401,-4.09,86,75,1.03,SJ,1698416507
204,palo santo,-25.5633,-59.3378,23.41,91,85,2.67,AR,1698416507
205,mata-utu,-13.2816,-176.1745,26.95,78,71,8.03,WF,1698416507
206,souillac,-20.5167,57.5167,22.21,100,75,1.54,MU,1698416507
207,lazaro cardenas,17.9583,-102.2,25.05,87,95,1.72,MX,1698416507
208,nemuro,43.3236,145.575,11.14,80,100,2.32,JP,1698416508
209,margaret river,-33.95,115.0667,10.1,71,0,4.46,AU,1698416508
210,kingston,17.997,-76.7936,29.02,79,1,0.45,JM,1698416508
211,mili,6.0815,171.735,27.59,76,100,1.62,MH,1698416508
212,northam,51.0333,-4.2167,15.92,85,58,6.01,GB,1698416508
213,whistler,50.1164,-122.9695,-1.36,72,1,2.06,CA,1698416508
214,aasiaat,68.7098,-52.8699,-9.61,82,99,1.72,GL,1698416508
215,adam,22.3756,57.5233,31.23,33,47,4.03,OM,1698416509
216,canto do buriti,-8.11,-42.9444,38.72,23,37,1.63,BR,1698416509
217,arteche,12.2645,125.4048,26.29,83,7,1.18,PH,1698416509
218,ustka,54.5805,16.8619,7.58,77,100,4.77,PL,1698416292
219,les sables-d'olonne,46.6667,-1.8333,14.44,69,63,11.56,FR,1698416509
220,ust-nera,64.5667,143.2,-13.52,97,100,1.23,RU,1698416509
221,kertih,4.5141,103.4483,26.01,88,60,0.0,MY,1698416509
222,opuwo,-18.0607,13.84,35.6,11,88,6.24,NA,1698416510
223,kapuskasing,49.4169,-82.4331,1.05,100,100,3.09,CA,1698416510
224,gwaram,11.2764,9.8858,36.6,11,52,1.33,NG,1698416510
225,sisimiut,66.9395,-53.6735,-4.51,78,100,3.94,GL,1698416510
